penalty,n_items,items_code,items_label,mae,hi_missed_pct,kappa,n_scored,mae_vs_a1,a1_mae_ref,a0_miss_pct_ref,champion,pass,score,rank
EN,10,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q18혼자있기",0.5357,15.28,0.5659,2169,0.053,0.5887,17.75,True,True,0.8854080966177564,34
L2,10,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A,ADL0116B,ADL0122Q,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑,Q16b지불,Q22취미,Q23가전사용",0.543,15.07,0.5655,2188,0.0458,0.5887,17.75,True,True,0.8856927055794936,35
EN,12,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0112A,ADL0115A,ADL0116A,ADL0116B,Q18,ADL0122Q","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q12집안일,Q15외출,Q16a쇼핑,Q16b지불,Q18혼자있기,Q22취미",0.546,14.98,0.5695,2165,0.0428,0.5887,17.75,True,True,0.8857054814020868,36
L2,13,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0111A,ADL0114A,ADL0115A,ADL0116A,ADL0117A,Q18","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q11식사준비,Q14가전,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기",0.5461,14.98,0.5624,2168,0.0426,0.5887,17.75,True,True,0.8857904143050934,37
L2,12,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0111A,ADL0114A,ADL0115A,ADL0116A,Q18,ADL0122Q","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q11식사준비,Q14가전,Q15외출,Q16a쇼핑,Q18혼자있기,Q22취미",0.5468,14.98,0.5675,2167,0.0419,0.5887,17.75,True,True,0.8863849446261397,38
EN,13,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0112A,ADL0115A,ADL0116A,ADL0116B,ADL0117A,Q18,ADL0122Q","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q12집안일,Q15외출,Q16a쇼핑,Q16b지불,Q17금전,Q18혼자있기,Q22취미",0.5469,14.98,0.5633,2165,0.0419,0.5887,17.75,True,True,0.8864698775291464,39
EN,11,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,ADL0117A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기",0.5371,15.28,0.5637,2167,0.0516,0.5887,17.75,True,True,0.8865971572598492,40
EN,13,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0113A,ADL0115A,ADL0116A,Q18,ADL0121A,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q13빨래,Q15외출,Q16a쇼핑,Q18혼자있기,Q21글쓰기,Q23가전사용",0.5355,15.33,0.564,2155,0.0532,0.5887,17.75,True,True,0.8866466815159686,41
EN,11,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0114A,ADL0115A,ADL0116A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q14가전,Q15외출,Q16a쇼핑,Q18혼자있기",0.5373,15.28,0.565,2170,0.0514,0.5887,17.75,True,True,0.8867670230658624,42
EN,12,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0114A,ADL0115A,ADL0116A,ADL0117A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q14가전,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기",0.5374,15.28,0.5655,2168,0.0514,0.5887,17.75,True,True,0.8868519559688691,43
