penalty,n_items,items_code,items_label,mae,hi_missed_pct,kappa,n_scored,mae_vs_a1,a1_mae_ref,a0_miss_pct_ref,champion
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑",0.5522,16.78,0.5564,2193,0.0365,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0111A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑",0.5415,17.53,0.554,2194,0.0473,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0112A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑",0.5308,17.24,0.5622,2195,0.058,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0113A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q13빨래,Q15외출,Q16a쇼핑",0.5363,17.81,0.5654,2191,0.0525,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0114A,ADL0115A,ADL0116A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q14가전,Q15외출,Q16a쇼핑",0.5389,17.12,0.5626,2197,0.0498,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0116B","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q16b지불",0.5676,16.44,0.5488,2197,0.0212,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0117A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q17금전",0.5396,16.78,0.5605,2196,0.0491,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,Q18","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q18혼자있기",0.5204,16.32,0.5758,2177,0.0683,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0121A","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q21글쓰기",0.5392,16.84,0.5659,2183,0.0496,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0122Q","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q22취미",0.5526,17.47,0.5556,2195,0.0361,0.5887,17.75,True
L2,8,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0115A,ADL0116A,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q15외출,Q16a쇼핑,Q23가전사용",0.5257,17.47,0.5706,2197,0.063,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q15외출,Q16a쇼핑",0.5492,16.1,0.5582,2196,0.0396,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0110A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q10설거지,Q15외출,Q16a쇼핑",0.5404,19.18,0.5576,2193,0.0484,0.5887,17.75,False
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0111A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q11식사준비,Q15외출,Q16a쇼핑",0.5593,17.87,0.5437,2194,0.0295,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0112A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q12집안일,Q15외출,Q16a쇼핑",0.5672,15.52,0.5465,2195,0.0215,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0113A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q13빨래,Q15외출,Q16a쇼핑",0.5358,17.81,0.5608,2191,0.0529,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0114A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q14가전,Q15외출,Q16a쇼핑",0.5658,15.75,0.5476,2197,0.023,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A,ADL0116B","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑,Q16b지불",0.5658,16.1,0.5475,2197,0.023,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A,ADL0117A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑,Q17금전",0.5373,18.15,0.5598,2196,0.0514,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A,Q18","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑,Q18혼자있기",0.5411,17.36,0.5596,2177,0.0476,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A,ADL0121A","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑,Q21글쓰기",0.5392,18.21,0.5593,2183,0.0496,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A,ADL0122Q","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑,Q22취미",0.5353,18.15,0.5566,2195,0.0534,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0115A,ADL0116A,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q15외출,Q16a쇼핑,Q23가전사용",0.5294,17.47,0.5686,2197,0.0594,0.5887,17.75,True
L2,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0115A,ADL0116A","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q15외출,Q16a쇼핑",0.5418,17.47,0.5598,2191,0.047,0.5887,17.75,True
