variant,k,outer_fold,n_items,items_code,items_label,mae,kappa,champion
unmerged,15,AD-1061,15,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0110A,ADL0112A,ADL0113A,ADL0114A,ADL0115A,ADL0116A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q10설거지,Q12집안일,Q13빨래,Q14가전,Q15외출,Q16a쇼핑,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5384,0.5606,True
unmerged,15,AD-1063,15,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106B,ADL0106A,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0115A,ADL0116A,Q18,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6b옷입기,Q6a옷고르기,Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q15외출,Q16a쇼핑,Q18혼자있기,Q22취미,Q23가전사용",0.5384,0.5606,True
unmerged,15,AD-1064,15,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0111A,ADL0113A,ADL0115A,ADL0116B,Q18,ADL0121A,ADL0122Q,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q11식사준비,Q13빨래,Q15외출,Q16b지불,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5384,0.5606,True
merged,18,AD-1061,18,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0115A,ADL0116A,ADL0116B,ADL0117A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q15외출,Q16a쇼핑,Q16b지불,Q17금전,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5388,0.5655,True
merged,18,AD-1063,18,"ADL0102,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0113A,ADL0115A,ADL0116A,ADL0116B,ADL0117A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q13빨래,Q15외출,Q16a쇼핑,Q16b지불,Q17금전,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5388,0.5655,True
merged,18,AD-1064,18,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0113A,ADL0114A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q13빨래,Q14가전,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5388,0.5655,True
unmerged,14,AD-1061,14,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0112A,ADL0114A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q12집안일,Q14가전,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q22취미,Q23가전사용",0.5393,0.5581,False
unmerged,14,AD-1063,14,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0110A,ADL0111A,ADL0113A,ADL0114A,ADL0115A,ADL0116A,Q18,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q10설거지,Q11식사준비,Q13빨래,Q14가전,Q15외출,Q16a쇼핑,Q18혼자있기,Q22취미,Q23가전사용",0.5393,0.5581,False
unmerged,14,AD-1064,14,"ADL0101,ADL0103,ADL0104,ADL0105,ADL0110A,ADL0111A,ADL0112A,ADL0113A,ADL0114A,ADL0115A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q10설거지,Q11식사준비,Q12집안일,Q13빨래,Q14가전,Q15외출,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5393,0.5581,False
merged,15,AD-1061,15,"ADL0102,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0110A,ADL0111A,ADL0113A,ADL0115A,ADL0116A,ADL0117A,Q18,ADL0121A,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q10설거지,Q11식사준비,Q13빨래,Q15외출,Q16a쇼핑,Q17금전,Q18혼자있기,Q21글쓰기,Q23가전사용",0.5411,0.5606,True
merged,15,AD-1063,15,"ADL0102,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0113A,ADL0115A,ADL0117A,Q18,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q13빨래,Q15외출,Q17금전,Q18혼자있기,Q22취미,Q23가전사용",0.5411,0.5606,True
merged,15,AD-1064,15,"ADL0102,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0113A,ADL0115A,ADL0116A,Q18,ADL0121A,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q13빨래,Q15외출,Q16a쇼핑,Q18혼자있기,Q21글쓰기,Q23가전사용",0.5411,0.5606,True
merged,13,AD-1061,13,"ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0114A,ADL0115A,ADL0116A,ADL0121A,ADL0123L","Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q14가전,Q15외출,Q16a쇼핑,Q21글쓰기,Q23가전사용",0.5415,0.5583,True
merged,13,AD-1063,13,"ADL0101,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0112A,ADL0113A,ADL0115A,ADL0116A,Q18,ADL0122Q,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q12집안일,Q13빨래,Q15외출,Q16a쇼핑,Q18혼자있기,Q22취미,Q23가전사용",0.5415,0.5583,True
merged,13,AD-1064,13,"ADL0101,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0110A,ADL0112A,ADL0114A,ADL0115A,ADL0116B,Q18,ADL0121A","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q10설거지,Q12집안일,Q14가전,Q15외출,Q16b지불,Q18혼자있기,Q21글쓰기",0.5415,0.5583,True
merged,17,AD-1061,17,"ADL0101,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0115A,ADL0116A,ADL0116B,ADL0117A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q15외출,Q16a쇼핑,Q16b지불,Q17금전,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5415,0.5634,True
merged,17,AD-1063,17,"ADL0102,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0115A,ADL0116A,ADL0116B,ADL0117A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q15외출,Q16a쇼핑,Q16b지불,Q17금전,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5415,0.5634,True
merged,17,AD-1064,17,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0107A,ADL0110A,ADL0111A,ADL0112A,ADL0113A,ADL0114A,ADL0115A,ADL0116A,Q18,ADL0121A,ADL0122Q,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q7전화,Q10설거지,Q11식사준비,Q12집안일,Q13빨래,Q14가전,Q15외출,Q16a쇼핑,Q18혼자있기,Q21글쓰기,Q22취미,Q23가전사용",0.5415,0.5634,True
unmerged,11,AD-1061,11,"ADL0101,ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0111A,ADL0115A,Q18,ADL0123L","Q1먹기,Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q11식사준비,Q15외출,Q18혼자있기,Q23가전사용",0.5433,0.5651,True
unmerged,11,AD-1063,11,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0106A,ADL0110A,ADL0112A,ADL0115A,ADL0117A,Q18,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q10설거지,Q12집안일,Q15외출,Q17금전,Q18혼자있기,Q23가전사용",0.5433,0.5651,True
unmerged,11,AD-1064,11,"ADL0102,ADL0103,ADL0104,ADL0105,ADL0110A,ADL0112A,ADL0113A,ADL0115A,ADL0117A,ADL0121A,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q10설거지,Q12집안일,Q13빨래,Q15외출,Q17금전,Q21글쓰기,Q23가전사용",0.5433,0.5651,True
merged,11,AD-1061,11,"ADL0101,ADL0103,ADL0104,ADL0105,Q6,ADL0111A,ADL0112A,ADL0115A,Q18,ADL0121A,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q11식사준비,Q12집안일,Q15외출,Q18혼자있기,Q21글쓰기,Q23가전사용",0.5456,0.5637,False
merged,11,AD-1063,11,"ADL0102,ADL0103,ADL0104,ADL0105,Q6,ADL0107A,ADL0112A,ADL0115A,ADL0116A,Q18,ADL0122Q","Q2걷기,Q3화장실,Q4목욕,Q5몸단장,Q6옷챙겨입기(6a+6b합산),Q7전화,Q12집안일,Q15외출,Q16a쇼핑,Q18혼자있기,Q22취미",0.5456,0.5637,False
merged,11,AD-1064,11,"ADL0101,ADL0103,ADL0104,ADL0107A,ADL0111A,ADL0113A,ADL0114A,ADL0115A,Q18,ADL0121A,ADL0123L","Q1먹기,Q3화장실,Q4목욕,Q7전화,Q11식사준비,Q13빨래,Q14가전,Q15외출,Q18혼자있기,Q21글쓰기,Q23가전사용",0.5456,0.5637,False
unmerged,8,AD-1061,8,"ADL0103,ADL0104,ADL0106B,ADL0107A,ADL0112A,ADL0115A,ADL0116B,ADL0123L","Q3화장실,Q4목욕,Q6b옷입기,Q7전화,Q12집안일,Q15외출,Q16b지불,Q23가전사용",0.547,0.5558,True
unmerged,8,AD-1063,8,"ADL0103,ADL0104,ADL0105,ADL0106A,ADL0107A,ADL0110A,ADL0115A,Q18","Q3화장실,Q4목욕,Q5몸단장,Q6a옷고르기,Q7전화,Q10설거지,Q15외출,Q18혼자있기",0.547,0.5558,True
unmerged,8,AD-1064,8,"ADL0102,ADL0103,ADL0104,ADL0106B,ADL0106A,ADL0115A,ADL0116B,ADL0123L","Q2걷기,Q3화장실,Q4목욕,Q6b옷입기,Q6a옷고르기,Q15외출,Q16b지불,Q23가전사용",0.547,0.5558,True
