k,in_mae,in_miss,score,ex_mae,ex_miss,in_rank
10,0.5247389922832502,19.453924914675767,0.9937207164462368,0.5142857142857142,19.101123595505616,70.0
8,0.5174761688606446,18.771331058020476,0.9683218670304252,0.5092857142857142,19.101123595505616,33.0
10,0.5229232864275988,19.112627986348123,0.9825633117845917,0.5078571428571429,17.97752808988764,52.0
11,0.5233772128915116,20.13651877133106,1.0117949706423106,0.5121428571428571,18.53932584269663,98.0
9,0.5183840217884703,20.819112627986346,1.026785184745863,0.5121428571428571,18.53932584269663,119.0
10,0.5115751248297776,18.771331058020476,0.9633103018800784,0.52,18.53932584269663,25.0
8,0.5206536541080345,17.747440273037544,0.9421742482652274,0.5178571428571429,19.101123595505616,5.0
11,0.5265546981389015,19.112627986348123,0.9856473518771128,0.515,19.101123595505616,57.0
12,0.5183840217884703,18.771331058020476,0.9690928770535556,0.5064285714285715,17.415730337078653,34.0
8,0.5224693599636859,20.477815699658702,1.020639345234565,0.5214285714285715,19.662921348314608,116.0
12,0.5215615070358602,18.43003412969283,0.9621760275191269,0.5135714285714286,18.53932584269663,24.0
10,0.5156604630049932,18.43003412969283,0.9571644623687801,0.515,18.53932584269663,13.0
13,0.5083976395823877,18.771331058020476,0.9606117667991223,0.51,18.53932584269663,21.0
14,0.5152065365410804,20.477815699658702,1.0144712650495227,0.5185714285714286,17.415730337078653,101.0
9,0.5170222423967318,20.477815699658702,1.016013285095783,0.52,18.53932584269663,104.0
13,0.5238311393554245,19.795221843003414,1.0025650910384911,0.5192857142857142,18.53932584269663,77.0
11,0.5079437131184749,19.453924914675767,0.9794570310183263,0.5064285714285715,17.97752808988764,49.0
8,0.5279164775306401,19.795221843003414,1.0060346361425776,0.5221428571428571,18.53932584269663,87.0
13,0.513390830685429,20.477815699658702,1.0129292450032619,0.5057142857142857,17.97752808988764,99.0
10,0.5247389922832502,19.795221843003414,1.0033361010616215,0.5092857142857142,17.97752808988764,81.0
14,0.5120290512936905,20.477815699658702,1.0117727299685666,0.5042857142857143,17.97752808988764,97.0
9,0.5283704039945529,18.43003412969283,0.9679586026926041,0.5164285714285715,19.101123595505616,32.0
9,0.519291874716296,20.13651877133106,1.0083254255382244,0.5171428571428571,17.97752808988764,90.0
9,0.5142986836132547,19.112627986348123,0.9752387165648537,0.5214285714285715,17.97752808988764,40.0
11,0.5315478892419429,20.13651877133106,1.0187340608504833,0.5214285714285715,17.415730337078653,111.0
9,0.5211075805719474,18.771331058020476,0.9714059071229465,0.5242857142857142,19.662921348314608,38.0
9,0.5270086246028144,20.819112627986346,1.034109779965601,0.5228571428571429,17.97752808988764,125.5
11,0.5220154334997731,18.088737201365188,0.9529461479153075,0.5178571428571429,19.662921348314608,11.0
