item,coef_raw,se_raw,z_raw,p_raw,OR_raw,OR_raw_ci_low,OR_raw_ci_high,sig_raw,coef_per_1SD,se_z,z_z,p_z,OR_per_1SD,OR_per_1SD_ci_low,OR_per_1SD_ci_high,sig_z,mean,std
ADL0116A,-0.08094127085732791,0.055068491165199907,-1.4698291009011357,0.14160804544699768,0.9222478526798901,0.8278895613199805,1.0273605822696597,,-0.09690842030421784,0.06584964469863798,-1.471662007406735,0.14111217196976855,0.9076391236420996,0.7977390628508655,1.0326795027709539,,1.774909420289855,1.1957673658553287
ADL0113A,-0.047598842323994243,0.03660655335805219,-1.3002819975545206,0.19350433583856175,0.9535162207154173,0.887499175270409,1.0244439752751247,,-0.0783830014659757,0.060290799093771164,-1.300082311797949,0.19357275936673246,0.9246102316451101,0.8215578141233376,1.0405890684334487,,2.4823369565217392,1.6469821904731285
ADL0123L,-0.045426476564561565,0.04114995280381892,-1.1039253624695717,0.26962551588838624,0.9555898582384517,0.8815439818508778,1.0358552675397348,,-0.06553378405192489,0.0593200062633613,-1.104750120237285,0.26926787926286444,0.9365674051832926,0.8337672466507954,1.0520424110868725,,2.892210144927536,1.4415461352960355
ADL0112A,0.06440152351498156,0.0590112401530841,1.0913433330313724,0.2751218369931454,1.0665205458785665,0.9500311483529937,1.1972934537494537,,0.06300441579276034,0.05769631508718669,1.0920006883897595,0.2748327986039345,1.0650315421794954,0.9511529850842007,1.1925444209553957,,2.4166666666666665,0.9777105268923596
ADL0106A,-0.09670952570451197,0.0909040206595854,-1.063864117371297,0.28739026028947223,0.9078196661161402,0.7596622091131956,1.0848723765649602,,-0.10284409008197659,0.09665683379619283,-1.0640126108292558,0.2873229867403979,0.9022676349889758,0.7465508963733805,1.0904640113665363,,2.3029891304347827,1.0632830174719108
ADL0102,-0.13511668524407916,0.1385237195364466,-0.9754046866214054,0.32935955984435505,0.8736139678814079,0.6658950685826378,1.1461285732329825,,-0.051079621382219394,0.052333204897224116,-0.976046116085063,0.3290416118467725,0.9502030110432821,0.8575698007350288,1.0528423009087426,,2.8917572463768115,0.3777855371572226
ADL0121A,-0.03741546987481135,0.05133729269524562,-0.7288165758354535,0.466113870708742,0.9632758401068064,0.8710668418609769,1.0652458566222953,,-0.036043513062556126,0.049421394786205844,-0.7293099115975646,0.4658121106973456,0.9645983199428938,0.8755443718257101,1.0627101821195568,,1.2395833333333333,0.9626777119646671
ADL0114A,-0.028347646666112312,0.05360971455474896,-0.5287781683142943,0.5969593441420744,0.9720503779811094,0.8750951224222828,1.0797476904199435,,-0.026096109608009288,0.04940316610089874,-0.5282274734115583,0.5973414630978449,0.9742414511450674,0.8843288217828054,1.073295794222526,,2.576539855072464,0.9215281408365141
ADL0106B,-0.0344625039823012,0.06676705869303697,-0.5161602840817554,0.6057424665291731,0.9661245648311202,0.8476173874780158,1.1012004809709384,,-0.04951934507833041,0.09591975409539838,-0.5162580486713949,0.6056741921115338,0.9516867475037087,0.7885794922767583,1.148530584734408,,3.2169384057971016,1.4366272561168218
ADL0122Q,-0.014982761692436078,0.03483875099215948,-0.4300602422804415,0.6671518198850936,0.9851289214120308,0.9201057097504843,1.054747276881487,,-0.020152663737393002,0.04683860677589128,-0.4302575401915234,0.6670083098253294,0.9800490439356807,0.8940832985671282,1.0742803607432863,,1.926177536231884,1.3444341346432447
